Last-layer (feat_can) invariance under D4 AND translation, Model 2
====================================================================
cos(vec(x), vec(g.x)) / cos(vec(x), vec(shift(x,d))).
1.0000 = exactly the same vector. feat = pre-canonicalization,
feat_can = post-canonicalization (the actual 'last layer' claim).
Unlike Model 1, translation is now explicitly canonicalized too.

####################################################################
# Well-known patterns (including the ones broken in Model 1)
####################################################################

pattern: glider  -- D4
op         feat pool cos  feat flat cos  |   feat_can pool cos  feat_can flat cos
e                 1.0000         1.0000  |              1.0000             1.0000
r90               1.0000         0.9905  |              1.0000             1.0000
r180              1.0000         0.9905  |              1.0000             1.0000
r270              1.0000         0.9905  |              1.0000             1.0000
flip_v            1.0000         0.9905  |              1.0000             1.0000
flip_h            1.0000         0.9905  |              1.0000             1.0000
transp            1.0000         0.9994  |              1.0000             1.0000
atransp           1.0000         0.9905  |              1.0000             1.0000
pattern: glider  -- translation (NEW in Model 2; Model 1 never canonicalized this)
shift      feat pool cos  feat flat cos  |   feat_can pool cos  feat_can flat cos
(0,0)             1.0000         1.0000  |              1.0000             1.0000
(1,0)             1.0000         0.9931  |              1.0000             1.0000
(0,1)             1.0000         0.9924  |              1.0000             1.0000
(3,-2)            1.0000         0.9912  |              1.0000             1.0000
(-5,7)            1.0000         0.9905  |              1.0000             1.0000
(10,15)           1.0000         0.9905  |              1.0000             1.0000
(-12,-18)         1.0000         0.9905  |              1.0000             1.0000

pattern: lwss  -- D4
op         feat pool cos  feat flat cos  |   feat_can pool cos  feat_can flat cos
e                 1.0000         1.0000  |              1.0000             1.0000
r90               1.0000         0.9828  |              1.0000             1.0000
r180              1.0000         0.9828  |              1.0000             1.0000
r270              1.0000         0.9828  |              1.0000             1.0000
flip_v            1.0000         0.9828  |              1.0000             1.0000
flip_h            1.0000         0.9828  |              1.0000             1.0000
transp            1.0000         0.9829  |              1.0000             1.0000
atransp           1.0000         0.9828  |              1.0000             1.0000
pattern: lwss  -- translation (NEW in Model 2; Model 1 never canonicalized this)
shift      feat pool cos  feat flat cos  |   feat_can pool cos  feat_can flat cos
(0,0)             1.0000         1.0000  |              1.0000             1.0000
(1,0)             1.0000         0.9907  |              1.0000             1.0000
(0,1)             1.0000         0.9913  |              1.0000             1.0000
